Artist Name;Track Name;Popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_in min/ms;time_signature;Class
Dion;Blues Comin‚Äô On;340;532;685;40;-6577;0;318;208;154;303;648;140036;2880710;4;2
Nick Cave & The Bad Seeds;Deanna;410;415;94;;-4874;1;889;49;;144;439;134392;2256270;4;1
Soen;Lotus;490;425;403;40;-9343;0;273;792;49;113;135;155761;3239310;4;10
Vani Jairam;Bole Re Papihara;200;373;707;10;-9566;0;562;668;0,00368;361;75;891;3578883333;4;3
Liam Gallagher;Once;590;39;646;60;-3961;1;372;904;;114;271;120755;2136770;4;10
The Pretty Things;She's a Lover;380;439;795;20;-9424;1;314;407;114;296;789;84846;2120670;4;6
Tha Dogg Pound;New York, New York;560;827;532;20;-4775;1;302;219;0,00291;127;694;87257;2904400;4;5
BLAB;Casual Sex;260;709;685;20;-7573;1;281;355;268;389;7;129987;1945670;4;1
Mighty Sam McClain;When the Hurt Is Over;410;583;143;;-15786;1;148;676;0,00284;117;533;156009;3714960;3;2
Trillary Banks;Last Man Standing;350;704;579;60;-9331;1;418;287;;139;712;142815;1766670;4;5
El Goodo;Feel so Fine;300;247;88;20;-3057;1;97;0,00201;309;122;333;134445;2374930;4;10
Keb' Mo';The Medicine Man [Feat. Old Crow Medicine Show];540;801;637;;-6406;1;565;169;0,00375;925;769;77012;2183600;4;2
Why Bonnie;Athlete;240;539;578;40;-8522;1;278;987;923;28;353;10203;1918900;4;10
Snoop Dogg;Beautiful;630;907;695;110;-6268;0;135;246;;808;961;101007;2983070;4;5
MOD SUN;Stay Away (feat. Machine Gun Kelly & Goody Grace);680;667;636;80;-5669;1;82;22;;908;152;158058;1518910;4;10
Turbo Knight;Rasengan;430;436;944;100;-7981;1;398;35;972;105;588;110002;3075450;4;6
The Black Crowes;Sometimes Salvation;410;366;662;40;-4914;1;34;261;;594;362;14834;2840000;3;10
Britney Spears, will.i.am;Big Fat Bass (feat. will.i.am);410;777;71;;-4717;1;919;295;;192;673;129945;4747333333;4;9
Radiohead;Burn the Witch;570;54;847;110;-652;1;297;303;272;109;62;148936;2206090;4;10
Oceans;Shark Tooth;420;435;889;110;-6462;0;474;0,00238;872;87;344;93896;1983450;4;8
Arctic Monkeys;R U Mine?;790;288;758;60;-5692;0;371;616;;303;619;97094;2017260;4;10
The Stranglers;Golden Brown;710;562;383;60;-15474;1;304;143;124;138;599;93764;2067600;3;10
Itay Levi;?î?©?ß?ò ?©?ú ?©?ë?™;330;683;347;10;-10392;1;473;549;;907;437;80009;1576300;4;9
Joe Bonamassa;Cradle Rock;440;411;91;20;-4867;1;392;243;82;931;613;106675;2300270;4;10
LeRoi Thirteen;Stand up and Shout (Cover);410;49;974;80;-4295;1;115;546;225;336;257;108946;2296170;4;8
Us The Duo;drivers license;550;374;35;100;-1148;1;176;843;;188;129;74464;381156667;1;0
Keller Williams;Right Here;430;633;194;80;-14543;1;729;885;404;111;421;143376;3483830;4;2
Primal Scream;Movin' on Up;630;523;76;50;-12437;1;325;103;68;666;581;94267;2282670;4;10
Lil Son Jackson;Upstairs Boogie;350;593;438;100;-13451;0;28;883;167;317;758;130225;1365600;3;2
Drake;Passionfruit;810;809;463;110;-11377;1;396;256;85;109;364;11198;498235;4;9
Abstract Orchestra;New Day;450;748;411;80;-606;0;489;532;117;115;339;91941;1450520;4;5
Luther Allison;Soul Fixin' Man;130;529;595;20;-13696;1;375;227;266;326;767;134642;1878270;4;2
Elena Falwell;Elegi For Cello;410;167;148;;-19539;1;347;955;897;111;4;76412;27204;3;7
Sharon Van Etten;Comeback Kid;510;543;927;;-5209;1;755;342;543;327;354;120097;1823330;4;10
beabadoobee;Don‚Äôt You (Forget About Me) - live from Abbey Road Studios, London;410;644;891;20;-5147;1;526;111;798;118;504;110007;2394880;4;10
R.E.M.;Drive;620;467;432;70;-11753;1;283;175;1;226;238;142642;2713330;4;10
FCG Heem;Shinin;440;514;387;60;-1151;0;409;753;;485;461;84112;1868120;4;5
The Beatles;She's Leaving Home - Remastered;;381;214;40;-11629;1;337;944;;106;393;127581;3586;3;0
Tom The Mail Man;Taking Over;600;762;516;50;-8016;0;969;288;;966;721;15697;1580000;4;5
ANSON;Ghost;280;357;943;40;-6168;0;101;547;;145;482;147217;2096820;4;10
Jimmy Eat World;All The Way (Stay);380;576;931;70;-2491;1;563;85;;143;735;133986;2457470;4;10
dempsey hope;picture perfect;30;61;482;50;-9137;1;137;299;;527;869;73628;1470130;4;9
Howie Lee;Birdy Island;240;491;504;40;-13581;0;566;625;794;222;145;159911;2587710;4;6
Pit Pony;Dutch Courage;250;117;916;10;-3281;1;723;0,00139;992;219;423;151886;2702050;4;1
Niko B;Who's That What's That;630;86;668;70;-8512;1;221;423;0,000185;96;237;128096;2400000;4;9
Ruthi Navon;?ó?©?û?ú ?ë?õ?§?ï?™ ?ô?ì?ô?ö;220;766;526;100;-11819;1;392;784;214;879;934;141631;2380000;4;10
Dan + Shay;Good Things;710;529;621;110;-6018;1;296;13;;173;617;97189;248178333;4;9
Gossip;Standing In the Way of Control;550;697;919;70;-6174;1;29;694;621;203;943;118341;2564000;4;6
Gone Is Gone;Breaks;280;407;932;110;-6252;1;113;363;346;229;173;102954;2352140;4;8
Violent Soho;Covered in Chrome;550;564;753;50;-5223;1;433;512;0,000243;167;414;152064;2125470;4;10
Mr. Oizo;Positif;440;744;928;100;-5628;0;495;409;624;132;507;123014;1711200;4;6
Cage The Elephant;Skin and Bones;650;539;788;90;-3227;0;396;89;;29;357;159986;1961730;4;10
Carusella;Star Quality;110;431;967;10;-4555;1;114;159;64;142;179;146623;2694400;4;6
Faith No More;Falling to Pieces;;545;919;20;-7679;1;483;269;512;978;386;104364;3135730;4;10
FLO;D's;660;266;294;70;-11938;0;291;771;697;107;397;137941;8110770;3;9
Pathiena;The Deepest Of Sorrow;400;645;329;20;-16642;1;419;239;892;375;184;128099;3545833333;4;0
The Offspring;Coming for You;590;508;912;;-1798;1;827;0,00975;0,000125;669;533;139381;2285870;4;10
Pain of Salvation;Meaningless;420;579;661;70;-4011;1;422;675;373;303;374;144909;2874670;3;10
Lenny Kravitz;Stand By My Woman;;521;527;20;-6371;1;296;931;244;106;273;122271;2596270;4;10
Black Sabbath;Paranoid;160;426;619;40;-11501;0;722;0,00844;239;17;382;162721;280733333;4;10
The Dark Element;Songs the Night Sings;470;449;854;30;-8261;1;431;0,00462;16;246;408;152142;3098270;4;8
Henry Gray;Let's Get High;190;698;609;;-6993;1;485;743;;188;665;131057;2324130;4;2
Eyal Golan;?ò?¢?ô?™?ô;380;54;425;50;-9577;0;518;428;;218;239;88047;2205430;4;9
Noah Kahan;Young Blood - Acoustic;590;691;231;110;-10512;1;471;815;;103;298;85153;334355;4;0
The First Edition;Just Dropped In (To See What Condition My Condition Was In);570;58;551;90;-9898;0;582;181;719;15;516;115896;2012130;4;10
Alka Yagnik;Aaye Ho Meri Zindagi Mein - Female Version;420;565;754;80;-11636;0;344;678;442;756;922;13501;605555;3;3
Bryan Adams;I Think About You;430;616;551;70;-727;1;249;155;;99;618;75027;2163730;4;10
The Shins;Simple Song;620;546;878;70;-5137;1;525;133;;135;35;119945;2554000;4;1
benny blanco;Care (with Omar Apollo);500;618;215;20;-128;1;4;759;962;109;214;90004;2904660;4;1
The 1975;She's American;570;639;859;10;-3923;1;554;18;499;798;523;11597;2701040;4;10
Winger;Seventeen;600;577;676;80;-11931;1;295;895;0,000229;625;676;9598;2452670;4;8
Townes Van Zandt;Waitin' Around To Die;520;551;233;60;-18251;0;312;71;949;11;659;89574;1651870;4;6
Piers Faccini;Bring Down The Wall;280;454;387;20;-10159;0;417;406;99;783;686;97995;2055330;4;10
Athletic Progression;Stepney Tale;370;632;8;50;-7227;0;234;547;;147;496;92757;2098330;4;5
Thirty Seconds To Mars;Dangerous Night;560;295;715;20;-6533;1;709;212;0,000155;242;242;86937;1997730;4;10
Pete Rock & C.L. Smooth;Straighten It Out;500;77;656;100;-11169;0;246;11;;793;788;9882;2534130;4;5
Peter Case;Bumble Bee;450;717;245;70;-10908;0;493;665;119;385;502;83554;2149330;4;2
Menahan Street Band;Queens Highway;500;778;399;10;-8984;1;858;751;835;103;321;137305;677200;4;1
Butcher Babies;Sleeping with the Enemy;480;438;951;70;-5192;0;736;0,00463;233;351;461;165088;2129270;4;8
MICROCORPS;DOR;100;451;776;30;-11756;0;587;518;703;11;609;177953;3313040;4;6
Sarah Palu;Ikivirta;380;617;375;50;-11889;0;319;742;513;109;117;151983;3875470;4;1
Saltatio Mortis;Kaufmann und Maid;540;565;768;20;-5332;0;382;277;;725;58;124006;2239070;4;8
JADHU;Fling;320;62;835;90;-6711;0;319;273;339;113;699;99022;2250720;4;9
Bring Me The Horizon;Parasite Eve;690;589;797;90;-5464;1;15;289;0,000435;383;232;102489;2918130;4;10
Frost*;Day and Age - Edit;380;443;858;80;-6935;1;378;843;243;18;34;169951;3015330;4;8
Toto Espinoza;Frida Kahlo;410;605;162;40;-12932;0;353;98;899;104;126;95576;5735216667;3;7
T-Bone Walker;Evil Hearted Woman - Alternate Take;300;624;26;10;-1164;1;621;904;263;825;551;510;1569330;4;2
K. J. Yesudas;Do Din Ki Jawani - Adalat / Soundtrack Version;70;513;658;60;-7185;0;622;512;;21;698;145896;3181333333;4;3
Jimi Hendrix;Purple Haze;710;533;905;20;-527;1;754;876;578;698;486;1089;284688333;4;10
Eskiz;Aborjinin T?ºrk?ºs?º;210;588;747;70;-6064;1;498;116;0,00072;244;263;138067;2490000;4;10
Lowest Creature;Reapers Fool;230;487;975;110;-4974;1;105;0,00747;183;201;526;139964;2020190;4;8
Tomer Yeshayahu;?ë?ú?ô ?ú?¢?ñ?ï?ë;300;621;375;50;-118;1;297;701;0,000012;122;508;132611;2196250;4;9
Neon Trees;Animal;660;482;829;50;-5576;1;437;34;;378;739;14799;2123070;4;10
JJ Lin;Bedroom (feat. Anne-Marie);690;369;424;70;-5431;1;318;64;;184;181;179597;2039910;4;9
Foreign Air;Monsters;500;552;673;90;-49;0;298;553;;114;174;89993;2240530;4;6
S. P. Balasubrahmanyam;Mere Rang Mein Rangne Wali;340;548;347;70;-147;0;362;771;175;124;498;11775;690355;4;3
Scary Kids Scaring Kids;Holding On;490;421;935;80;-5153;0;697;442;212;1;455;16502;2612400;4;10
Lawrence of Arcadia;David Keenan;300;524;336;20;-8034;1;415;841;118;111;458;110964;4757883333;5;0
Nirvana;In Bloom;650;436;876;100;-4902;0;647;0,00333;104;205;512;157044;2550800;4;1
Berry Sakharof;77' - Acoustic Live;170;5;47;;-7996;1;345;642;511;276;346;158809;2684000;4;10
Breezie 311;Shots In The Dark;320;705;756;90;-5274;0;415;477;;892;846;12998;1418750;4;10
Ghali;Combo (feat. Mr Eazi);410;825;781;90;-4732;0;107;833;0,00355;26;812;100013;1760120;4;9
Gwar;Sick of You;480;657;535;10;-9715;1;47;329;492;318;738;132257;1888300;4;8
Downset;Empower;420;58;93;10;-5719;1;12;128;;102;534;97917;1442670;4;8
Blue Material;Blue Blood;370;621;602;90;-7796;0;279;316;853;134;609;116011;2301520;4;6
Sempra;B Mine?;190;754;92;30;-4484;0;5;183;689;187;966;147998;2661330;4;1
Malcolm McLaren;Buffalo Gals;410;881;636;40;-13617;0;156;257;257;207;616;108863;2594270;4;5
Arcade Fire;Ready to Start;580;282;932;90;-4701;1;387;12;335;692;536;19008;2558930;4;10
Bad Nerves;Dreaming;320;449;958;60;-6602;0;123;0,000533;116;148;389;107458;1293730;4;6
3 Doors Down;Your Arms Feel Like home;370;548;709;90;-6557;0;273;678;0,000382;104;191;119998;2242130;4;10
ARXX;Deep;330;65;6;90;-10615;0;4;278;121;811;795;110016;1802030;4;10
Crown Lands;Howlin' Back Again;390;494;969;60;-2694;1;222;172;158;148;165;121214;1698080;4;10
The Undercover Dream Lovers;Get to You;420;761;707;50;-6208;0;356;68;421;969;893;113976;2084210;4;6
A Scent Like Wolves;Telephone;390;553;939;30;-404;0;795;833;181;404;369;124984;1988400;4;8
Idan Rafael Haviv;?©?ú?û?ô?ù;550;417;355;;-12372;1;599;847;0,00418;113;914;86078;2210250;4;9
Otis Junior;When It's Sweet;300;824;489;90;-5669;0;692;302;;887;771;86815;1602500;4;1
Madhav Gopi Nair;Mukti;170;349;336;40;-11111;1;292;723;913;154;62;112966;1117650;5;6
The Sequence;Funk You Up - 12'' Version;240;921;768;;-5735;1;311;507;738;53;775;103713;6523200;4;5
Advaita;Ghir Ghir;330;601;728;40;-10469;1;436;378;726;368;862;13799;509355;3;0
John Campbell;Devil in My Closet;300;353;495;80;-11503;1;344;119;119;13;567;81018;3606000;4;2
Dan + Shay;Glad You Exist;790;748;551;110;-612;1;349;235;;119;66;103953;2408883333;4;4
Gymshorts;Gotta Get Away;230;15;843;90;-8369;1;439;127;502;665;729;180034;1459320;4;1
Liz Phair;Fuck and Run;470;774;64;20;-7949;1;333;743;316;88;947;136226;1879330;4;1
Stephen Taranto;Pixel Heart: Verdant;280;373;964;110;-7925;0;798;152;791;109;207;83958;3123630;4;8
Deep Purple;Gettin' Tighter;430;42;831;70;-9069;1;754;28;711;153;752;120867;2181730;4;10
Loyle Carner;Yesterday;600;428;98;110;-2975;0;443;734;;127;423;92035;1686540;4;5
Nickelback;Rockstar;700;616;91;;-3004;1;386;459;;343;693;144072;2520400;4;10
Post Malone;Motley Crew;900;797;631;30;-3818;0;786;904;0,000371;998;288;129915;307021667;4;9
Yehudit Ravitz;?®?ó?ë?™ ?î?®?ô?ß?ï?ì?ô?ù;200;418;761;90;-8285;1;557;295;0,000137;36;467;152472;2986930;4;10
Olivia Rodrigo;good 4 u;990;563;664;90;-5044;1;154;335;;849;688;166928;296911667;4;9
Rema;Bounce;590;463;847;110;-6776;0;511;307;;117;625;114962;1877830;4;9
Charlie Puth;Cheating on You;750;749;535;40;-6785;1;336;131;0,00365;982;601;123042;1966070;4;9
Ravid Plotnik;?†?¢?†?¢;460;709;337;70;-1314;1;106;447;162;846;387;680;3203330;4;5
Ulver;Little Boy;330;283;41;40;-1435;1;423;106;287;109;612;91127;3234300;4;10
Alien Ant Farm;Smooth Criminal;750;653;964;90;-4261;0;582;316;512;144;87;126928;2092670;4;9
Live;Selling The Drama;570;45;914;60;-6741;1;647;106;0,00818;101;336;12442;2082930;4;10
Something Corporate;Punk Rock Princess;510;522;881;70;-5231;1;847;303;147;939;369;130084;2322000;4;10
Buzzcocks;Ever Fallen in Love (With Someone You Shouldn't've)?;640;266;831;40;-907;1;453;862;;555;778;175514;1636930;4;10
Enamour;Dragonfly;320;754;795;70;-9793;0;384;186;906;852;21;122007;2596060;4;9
mehro;chance with you;520;562;494;40;-813;0;278;864;259;153;383;144104;2155160;4;9
Christian L??ffler;Pastoral;550;163;191;100;-20924;1;365;937;959;961;335;105104;2206300;3;1
Mark Ronson;Uptown Funk (feat. Bruno Mars) - Radio Edit;480;823;66;;-4698;1;103;681;0,00027;269;956;114489;2284930;4;9
Rosie Flores;Simple Case of the Blues;380;65;63;110;-6787;0;4;278;0,00855;119;74;10769;2187470;4;2
Ayron Jones;Take Me Away;570;475;844;10;-4448;0;622;12;111;221;554;156136;2469330;4;10
Dream Drop;Reckless Demon Youth;350;375;927;60;-5385;0;123;111;0,000899;193;414;183998;1830400;4;8
Langston Hughes;I Have Known Rivers;100;713;146;30;-14163;1;54;784;;212;474;89267;664900;5;5
Abby Wolfe;Take It Slow;400;676;537;100;-7974;1;333;51;;898;388;88001;1815690;4;9
Eagles;Life in the Fast Lane - 2013 Remaster;720;667;755;90;-7246;1;69;966;0,00694;523;883;109535;477033333;4;10
Die Apokalyptischen Reiter;Tiki;340;408;943;;-5247;1;129;58;642;343;16;98089;1522520;4;8
Icon of Sin;Virtual Empire;330;494;958;40;-7765;0;511;361;226;387;313;145055;3529430;4;8
Spirit Adrift;Supernaut;320;425;925;70;-6246;1;105;0,00222;723;973;313;118066;2829780;4;8
Shlomo Artzi;?ú?î?¶?ô?ú ?ê?ï?™?ö;290;605;772;10;-6679;0;262;298;0,00196;131;836;12999;2803600;4;10
Eric B. & Rakim;Microphone Fiend;480;586;795;110;-871;1;258;354;;187;694;94101;3146000;4;5
Kayla Nicole, Taylor Girlz;Bundles (feat. Taylor Girlz);780;939;682;110;-5931;1;306;152;;552;584;130022;25801;4;9
The Rapture;How Deep Is Your Love?;520;472;826;90;-3938;0;594;617;713;187;132;122326;3859200;4;10
A Day To Remember;All I Want;640;349;981;20;-3228;0;141;0,00258;;343;207;160042;2026400;4;10
Morgan Evans;Love Is Real;580;645;732;30;-5089;1;453;853;0,00262;198;708;9502;2716216667;4;4
Habalyanim;?©?ï?ë?ô?†?ô?°?ò;150;522;769;100;-5841;0;191;104;114;643;793;189803;2403070;4;10
Wilco;Random Name Generator;390;621;962;20;-6469;1;454;282;126;132;653;14399;2294890;4;6
DOECHII;Yucky Blucky Fruitcake;710;597;617;80;-7482;0;282;463;;66;889;97923;4592;4;9
Gabi Shoshan;?ô?ú?ì?î ?ß?ò?†?î;270;688;544;70;-11393;0;37;576;231;894;633;135231;2406930;4;10
Brothers Osborne;I Don't Remember Me (Before You);610;614;614;40;-7497;0;314;104;0,00359;104;598;14603;3211333333;4;4
Zero 9:36;Come Thru;510;613;86;40;-4065;1;425;247;;438;638;93042;1772270;4;10
Róisín O;Lose You to Love Me;470;349;929;60;-15315;1;529;944;;864;293;176177;396591667;3;0
DIIV;Skin Game;430;484;754;60;-6326;0;383;11;806;123;399;124971;2654670;4;10
The Swellers;The Best I Ever Had;490;359;983;20;-369;0;864;0,00909;0,00354;335;486;193042;2395600;4;10
Stalos & Oren Chen;?ñ?î ?ú?ê ?¢?ï?©?î ?ú?ô ?õ?ú?ï?ù;250;681;929;80;-4071;1;324;214;;375;793;109982;2299330;4;9
Emery;Walls;460;274;915;10;-5259;0;167;139;0,00737;161;419;169161;2037070;4;10
Lionel Richie;Stuck On You - Live;220;439;682;40;-9044;1;42;113;0,00011;973;345;142113;433955;4;9
Oren Barzilay;?®?ß ?ê?ï?™?ö;170;636;616;70;-9267;1;589;521;0,00514;192;48;8299;2070300;4;10
Foo Fighters;All My Life;730;577;604;50;-5703;1;495;218;579;477;637;167719;2634400;4;10
Gucci Mane;Jumped Out the Whip (feat. A$AP Rocky);430;811;46;20;-5924;1;351;694;;13;4;141937;2163730;4;5
Luiz Bonfá, Panos Megarchiotis;Passeio No Rio - Arranged by Carlos Barbosa-Lima;400;571;158;20;-16835;1;779;964;919;108;308;114315;3068233333;4;7
Concha Piquer;Ojos verdes;350;658;12;;-9397;0;136;983;;101;278;104208;1982130;3;9
Supergrass;Tales of Endurance, Pt. 4, 5 & 6;530;282;648;90;-7604;0;291;12;401;216;117;91536;3314270;4;1
The New Respects;Trouble;430;516;7;20;-5621;1;631;182;;689;343;147914;2031870;4;10
Hadag Nahash;?®?°?ô?°?ô?ù ?¢?ú ?î?ó?ï?£;270;631;547;40;-8488;0;119;35;0,00027;113;719;164988;2040300;4;9
Julia Jacklin;Pressure To Party;480;471;811;40;-3956;1;389;125;0,00408;117;37;141967;1823070;4;6
Little G Weevil;Apple Picker (Acoustic);370;692;102;;-11721;1;61;818;328;337;475;114136;3368630;4;2
Lazy Queen;Self-care 101;170;415;774;10;-6445;1;41;403;;205;466;87415;3205220;4;10
No Somos Marineros;Los Bajos Fondos;330;483;603;40;-9907;1;386;348;878;911;907;179392;1731070;3;10
Ghost Town Blues Band;Tip of My Hat (Live);330;799;73;;-6648;1;414;29;0,00974;975;898;120336;2686500;4;2
Keethan, Pavitra Krishnan, Shravan Sridhar;Seher;340;315;565;110;-8667;1;369;65;671;107;617;9949;348;4;0
Amaranthe;Archangel;600;407;967;;-7104;1;666;316;142;89;227;180027;2033730;4;8
Acollective;Happiest of All Memorial Days;370;412;51;60;-8276;0;298;348;57;787;23;147904;2810930;4;6
No Memories of Tomorrow;Graeme James;80;579;304;20;-14271;0;301;751;612;129;479;129867;434655;4;0
The All-American Rejects;Swing, Swing;680;553;717;70;-5857;1;318;0,00648;128;385;318;127947;2332670;4;9
Nattali Rize;Indestructible;410;845;681;60;-4693;0;111;265;;519;654;86001;1836940;4;10
Apoorva Krishna;Tinky Winky;130;293;877;70;-4172;1;486;849;392;787;87;17147;3177840;4;6
Ronnie Robinson Trio;Pent-Up House;380;674;335;70;-13903;1;444;885;914;101;662;168741;2303233333;3;7
Peled;?ê?ú?§?ô?ù;410;706;679;70;-5392;0;803;543;;371;5;113038;1956990;4;5
Tay Money;Asthma Pump (with Flo Milli);650;908;663;10;-4032;1;359;163;;287;399;119983;1789730;4;5
Allegaeon;Concerto in Dm;350;556;969;20;-3778;1;402;119;829;378;325;103994;4410350;4;8
Quami;Squeeze Me;170;694;907;90;-3854;1;458;765;0,00062;13;573;11498;2906000;4;5
Oasis;Whatever;560;247;913;70;-2437;1;388;418;839;257;34;91157;3822670;4;6
